session_id,timestamp,traffic_source,campaign_id,device_type,landing_page_variant,geo_region,returning_visitor,session_duration_sec,scroll_depth_pct,num_clicks,sections_viewed,time_to_first_scroll_sec,form_started,form_field_interactions,converted,appointment_set
s_672811,2026-02-22 12:55:14,google,g_camp_0011,tablet,A,South,0,13.7,16.4,3,0,2.77,0,0,0,
s_613680,2026-02-26 22:48:48,facebook,fb_camp_0002,mobile,B,South,0,7.8,32.0,3,1,5.51,0,0,0,
s_311500,2026-02-16 18:53:35,facebook,fb_camp_0001,desktop,A,West,0,6.9,16.8,3,3,4.74,0,0,0,
s_094737,2026-03-14 02:34:48,facebook,fb_camp_0002,mobile,A,South,0,68.7,14.3,1,2,10.54,0,0,0,
s_118424,2026-02-25 16:31:56,google,g_camp_0011,desktop,A,South,0,62.0,26.4,10,4,2.75,0,0,0,
s_667349,2026-02-25 23:17:16,google,g_camp_0011,desktop,A,Northeast,0,25.5,85.3,5,6,2.35,0,0,0,
s_938750,2026-02-16 00:22:36,google,g_camp_0012,mobile,B,West,0,126.8,40.3,9,3,3.33,1,4,0,
s_324769,2026-02-13 05:33:04,google,g_camp_0013,desktop,B,Northeast,0,24.3,37.9,3,2,4.04,0,0,0,
s_920977,2026-03-24 19:44:55,facebook,fb_camp_0003,mobile,B,South,0,35.4,62.0,2,3,9.63,1,4,0,
s_353102,2026-02-11 11:25:07,google,g_camp_0012,desktop,A,South,0,54.3,49.6,7,6,2.84,0,0,0,
s_761604,2026-02-13 04:33:09,google,g_camp_0012,mobile,A,Northeast,0,5.6,32.0,2,0,5.78,0,0,0,
s_534533,2026-03-12 03:45:16,facebook,fb_camp_0003,desktop,A,Northeast,0,10.8,0.0,2,1,5.75,0,0,0,
s_169617,2026-03-12 09:28:40,google,g_camp_0013,mobile,B,West,0,75.0,64.4,10,6,3.41,0,0,0,
s_621985,2026-03-24 20:53:40,facebook,fb_camp_0003,desktop,A,South,0,37.1,18.5,6,3,5.09,0,0,0,
s_102393,2026-03-08 10:12:40,google,g_camp_0011,mobile,B,Midwest,0,8.9,9.3,4,2,3.42,0,0,0,
s_245332,2026-03-25 20:54:47,facebook,fb_camp_0001,desktop,B,Northeast,0,58.7,53.1,10,2,1.6,1,1,0,
s_602082,2026-03-11 03:35:19,google,g_camp_0011,mobile,B,Midwest,0,104.1,89.0,10,6,2.5,1,8,1,0.0
s_453521,2026-03-10 15:32:29,facebook,fb_camp_0007,mobile,B,West,0,7.9,4.4,50,1,0.92,0,0,0,
s_967786,2026-02-20 16:22:32,facebook,fb_camp_0002,mobile,A,South,0,25.5,49.1,1,4,7.23,0,0,0,
s_914197,2026-03-16 06:55:04,facebook,fb_camp_0001,mobile,A,West,0,12.9,11.5,4,2,2.66,0,0,0,
s_906780,2026-03-07 21:28:00,facebook,fb_camp_0001,desktop,B,Midwest,0,9.4,8.9,1,2,4.14,0,0,0,
s_225848,2026-02-05 08:56:30,facebook,fb_camp_0001,mobile,B,Northeast,0,19.6,28.6,0,0,11.4,0,0,0,
s_556984,2026-02-03 14:48:04,google,g_camp_0012,mobile,A,South,0,79.2,35.5,2,2,7.41,0,0,0,
s_445458,2026-03-22 14:31:13,google,g_camp_0011,mobile,B,Northeast,0,88.2,77.3,4,3,3.28,0,0,0,
s_910101,2026-02-08 10:07:38,google,g_camp_0012,desktop,A,South,0,28.2,32.4,3,3,3.52,0,0,0,
s_951564,2026-03-09 17:55:22,facebook,fb_camp_0001,mobile,B,South,0,15.0,18.8,1,2,4.13,0,0,0,
s_647058,2026-03-12 04:29:29,google,g_camp_0011,mobile,B,Northeast,1,17.1,64.6,6,3,3.1,1,5,0,
s_294260,2026-03-19 06:09:12,google,g_camp_0011,desktop,A,South,0,27.5,51.9,8,4,8.22,1,2,0,
s_888557,2026-02-25 13:37:34,google,g_camp_0011,desktop,B,Northeast,0,71.1,100.0,10,5,1.91,1,7,1,0.0
s_886850,2026-02-18 00:18:48,google,g_camp_0013,desktop,A,Midwest,0,43.1,37.1,5,2,2.89,0,0,0,
s_251556,2026-02-15 02:14:09,google,g_camp_0011,mobile,B,South,0,36.1,22.5,2,3,6.49,0,0,0,
s_377901,2026-02-02 17:33:23,facebook,fb_camp_0003,desktop,A,South,1,64.3,24.1,4,3,4.53,0,0,0,
s_815279,2026-02-14 01:31:15,facebook,fb_camp_0003,mobile,B,South,0,26.6,68.8,7,3,3.04,0,0,0,
s_435738,2026-03-18 19:30:28,google,g_camp_0011,desktop,A,Northeast,1,43.6,54.5,4,4,3.85,0,0,0,
s_859057,2026-03-25 17:21:26,facebook,fb_camp_0002,mobile,B,Northeast,0,47.9,23.4,4,3,5.81,1,1,0,
s_974155,2026-03-08 16:32:23,facebook,fb_camp_0002,mobile,A,Northeast,1,11.6,22.5,3,1,2.63,0,0,0,
s_281700,2026-03-08 12:46:12,facebook,fb_camp_0007,mobile,B,Northeast,0,8.7,1.5,76,1,1.17,0,0,0,
s_830909,2026-03-28 12:00:27,google,g_camp_0011,mobile,A,South,0,33.7,57.8,5,3,3.51,0,0,0,
s_021033,2026-02-17 17:28:15,google,g_camp_0013,mobile,B,Northeast,0,25.9,51.1,6,5,2.15,0,0,0,
s_719245,2026-03-26 05:05:29,facebook,fb_camp_0003,desktop,A,Northeast,0,12.8,55.6,5,0,2.37,0,0,0,
s_383762,2026-02-04 08:53:54,facebook,fb_camp_0002,mobile,B,Northeast,0,15.6,32.3,0,3,7.75,0,0,0,
s_694116,2026-02-28 13:17:00,facebook,fb_camp_0002,desktop,B,South,1,60.3,76.4,9,3,2.34,1,3,0,
s_377592,2026-02-04 22:32:53,facebook,fb_camp_0003,mobile,B,West,0,17.8,15.8,3,1,10.36,0,0,0,
s_858139,2026-03-14 18:45:59,facebook,fb_camp_0001,desktop,A,West,0,38.9,90.5,2,5,1.37,1,3,0,
s_414872,2026-02-22 17:06:06,facebook,fb_camp_0003,mobile,A,South,0,15.7,0.0,3,2,7.54,0,0,0,
s_176356,2026-03-28 03:37:55,google,g_camp_0011,mobile,B,Northeast,0,8.3,19.2,4,2,1.94,0,0,0,
s_917291,2026-03-25 20:54:47,facebook,fb_camp_0001,mobile,B,South,0,4.4,32.7,2,3,4.99,0,0,0,
s_824064,2026-02-07 15:36:32,google,g_camp_0011,mobile,B,Northeast,0,69.0,47.4,9,4,5.6,1,4,0,
s_067528,2026-02-25 03:35:04,facebook,fb_camp_0002,mobile,B,South,0,107.1,29.4,2,0,7.11,0,0,0,
s_154253,2026-02-12 23:22:15,google,g_camp_0013,desktop,A,Midwest,0,42.8,44.4,8,3,2.4,1,3,0,
s_540520,2026-03-11 06:23:36,google,g_camp_0011,mobile,A,South,0,40.0,70.8,7,4,2.85,0,0,0,
s_107282,2026-02-14 19:40:34,facebook,fb_camp_0002,desktop,A,Northeast,0,2.7,36.3,0,1,7.19,0,0,0,
s_889736,2026-02-09 11:33:28,google,g_camp_0012,mobile,A,West,1,34.2,21.8,3,2,3.01,0,0,0,
s_528052,2026-02-27 04:37:37,facebook,fb_camp_0001,desktop,A,Northeast,0,39.5,6.6,1,5,5.61,0,0,0,
s_797560,2026-02-07 20:11:28,facebook,fb_camp_0001,mobile,B,West,0,21.2,63.5,5,4,15.73,0,0,0,
